0.028	1.05E-04	-9.99E-03	0	2.26E-02	-1.26E-02	-1.05E-04	9.14E-03	1.03E-03	0	2.05E-03	0.00E+00	0.00E+00	0.00E+00	1.05E-04	-9.99E-03	0	2.26E-02	-1.26E-02	-1.05E-04	8.22E-03	-1.03E-03	0	2.05E-03	0.00E+00	0.00E+00	0.00E+00	0.000193801	5.50128E-05	-0.000129573
0.03	1.20E-04	-1.14E-02	0	2.57E-02	-1.44E-02	-1.20E-04	1.04E-02	1.17E-03	0	2.34E-03	0.00E+00	0.00E+00	0.00E+00	1.20E-04	-1.14E-02	0	2.57E-02	-1.44E-02	-1.20E-04	9.37E-03	-1.17E-03	0	2.34E-03	0.00E+00	0.00E+00	0.00E+00	0.000221046	6.27446E-05	-0.000147794
0.032	1.36E-04	-1.29E-02	0	2.91E-02	-1.62E-02	-1.36E-04	1.18E-02	1.33E-03	0	2.65E-03	0.00E+00	0.00E+00	0.00E+00	1.36E-04	-1.29E-02	0	2.91E-02	-1.62E-02	-1.36E-04	1.06E-02	-1.33E-03	0	2.65E-03	0.00E+00	0.00E+00	0.00E+00	0.000250106	0.000071	-0.00016722
0.034	1.52E-04	-1.45E-02	0	3.27E-02	-1.82E-02	-1.52E-04	1.33E-02	1.49E-03	0	2.98E-03	0.00E+00	0.00E+00	0.00E+00	1.52E-04	-1.45E-02	0	3.27E-02	-1.82E-02	-1.52E-04	1.19E-02	-1.49E-03	0	2.98E-03	0.00E+00	0.00E+00	0.00E+00	0.000280998	7.97615E-05	-0.000187867
0.036	1.70E-04	-1.62E-02	0	3.65E-02	-2.04E-02	-1.70E-04	1.48E-02	1.66E-03	0	3.33E-03	0.00E+00	0.00E+00	0.00E+00	1.70E-04	-1.62E-02	0	3.65E-02	-2.04E-02	-1.70E-04	1.33E-02	-1.66E-03	0	3.33E-03	0.00E+00	0.00E+00	0.00E+00	0.000313688	8.90467E-05	-0.000209736
0.038	1.89E-04	-1.80E-02	0	4.06E-02	-2.26E-02	-1.89E-04	1.64E-02	1.85E-03	0	3.69E-03	0.00E+00	0.00E+00	0.00E+00	1.89E-04	-1.80E-02	0	4.06E-02	-2.26E-02	-1.89E-04	1.48E-02	-1.85E-03	0	3.69E-03	0.00E+00	0.00E+00	0.00E+00	0.000348211	0.000098838	-0.000232809
0.04	2.08E-04	-1.98E-02	0	4.48E-02	-2.50E-02	-2.08E-04	1.81E-02	2.04E-03	0	4.08E-03	0.00E+00	0.00E+00	0.00E+00	2.08E-04	-1.98E-02	0	4.48E-02	-2.50E-02	-2.08E-04	1.63E-02	-2.04E-03	0	4.08E-03	0.00E+00	0.00E+00	0.00E+00	0.000384479	0.000109135	-0.000257052
0.042	2.29E-04	-2.18E-02	0	4.92E-02	-2.74E-02	-2.29E-04	1.99E-02	2.24E-03	0	4.48E-03	0.00E+00	0.00E+00	0.00E+00	2.29E-04	-2.18E-02	0	4.92E-02	-2.74E-02	-2.29E-04	1.79E-02	-2.24E-03	0	4.48E-03	0.00E+00	0.00E+00	0.00E+00	0.000422317	0.000119887	-0.000282359
0.044	2.50E-04	-2.38E-02	0	5.37E-02	-2.99E-02	-2.50E-04	2.18E-02	2.45E-03	0	4.89E-03	0.00E+00	0.00E+00	0.00E+00	2.50E-04	-2.38E-02	0	5.37E-02	-2.99E-02	-2.50E-04	1.96E-02	-2.45E-03	0	4.89E-03	0.00E+00	0.00E+00	0.00E+00	0.000461657	0.000131039	-0.000308661
0.046	2.72E-04	-2.58E-02	0	5.83E-02	-3.25E-02	-2.72E-04	2.37E-02	2.66E-03	0	5.33E-03	0.00E+00	0.00E+00	0.00E+00	2.72E-04	-2.58E-02	0	5.83E-02	-3.25E-02	-2.72E-04	2.13E-02	-2.66E-03	0	5.33E-03	0.00E+00	0.00E+00	0.00E+00	0.000502498	0.000142646	-0.000335958
