0.001	0	0	0	0	0	0	0	0	0	
0.002	0	0	0	0	0	0	0	0	0	
0.003	0	0	0	0	0	0	0	0	0	
0.004	0	0	0	0	0	0	0	0	0	
0.005	6.33013e-06	-0.0027868	-1.45176e-05	0.00458676	1.42686e-05	-0.00179996	-5.69712e-06	0	0	
0.006	7.59618e-06	-0.00334414	-1.7421e-05	0.00550408	1.71221e-05	-0.00215994	-6.83655e-06	0	0	
0.007	8.86226e-06	-0.00390147	-2.03243e-05	0.00642138	1.99756e-05	-0.0025199	-7.976e-06	0	0	
0.008	1.01283e-05	-0.0044588	-2.32276e-05	0.00733866	2.2829e-05	-0.00287986	-9.11545e-06	0	0	
0.009	1.13945e-05	-0.00501611	-2.61307e-05	0.00825592	2.56823e-05	-0.00323981	-1.02549e-05	0	0	
0.01	1.26606e-05	-0.00557341	-2.90337e-05	0.00917315	2.85354e-05	-0.00359974	-1.13944e-05	0	0	
0.011	1.39268e-05	-0.0061307	-3.19367e-05	0.0100904	3.13884e-05	-0.00395966	-1.25339e-05	0	0	
0.012	1.5193e-05	-0.00668797	-3.48394e-05	0.0110075	3.42413e-05	-0.00431956	-1.36734e-05	0	0	
0.013	1.64592e-05	-0.00724522	-3.77421e-05	0.0119247	3.7094e-05	-0.00467944	-1.48129e-05	0	0	
0.014	1.77255e-05	-0.00780246	-4.06446e-05	0.0128418	3.99464e-05	-0.0050393	-1.59524e-05	0	0	
0.015	1.89918e-05	-0.00835967	-4.35469e-05	0.0137588	4.27987e-05	-0.00539915	-1.7092e-05	0	0	
0.016	2.02582e-05	-0.00891686	-4.6449e-05	0.0146758	4.56508e-05	-0.00575897	-1.82316e-05	0	0	
0.017	2.15246e-05	-0.00947403	-4.93509e-05	0.0155928	4.85027e-05	-0.00611876	-1.93712e-05	0	0	
0.018	2.2791e-05	-0.0100312	-5.22526e-05	0.0165097	5.13543e-05	-0.00647853	-2.05108e-05	0	0	
0.019	2.40575e-05	-0.0105883	-5.51541e-05	0.0174266	5.42056e-05	-0.00683827	-2.16504e-05	0	0	
0.02	2.53241e-05	-0.0111454	-5.80554e-05	0.0183434	5.70567e-05	-0.00719799	-2.27901e-05	0	0	
0.021	2.65907e-05	-0.0117024	-6.09564e-05	0.0192601	5.99075e-05	-0.00755767	-2.39298e-05	0	0	
0.022	2.78574e-05	-0.0122595	-6.38572e-05	0.0201768	6.2758e-05	-0.00791732	-2.50695e-05	0	0	
0.023	2.91241e-05	-0.0128165	-6.67577e-05	0.0210934	6.56081e-05	-0.00827694	-2.62093e-05	0	0	
0.024	3.03909e-05	-0.0133734	-6.96579e-05	0.0220099	6.8458e-05	-0.00863652	-2.73491e-05	0	0	
0.025	3.16578e-05	-0.0139303	-7.25578e-05	0.0229264	7.13075e-05	-0.00899607	-2.84889e-05	0	0	
0.026	3.29248e-05	-0.0144872	-7.54574e-05	0.0238428	7.41566e-05	-0.00935557	-2.96287e-05	0	0	
0.027	3.41918e-05	-0.0150441	-7.83567e-05	0.0247591	7.70054e-05	-0.00971504	-3.07686e-05	0	0	
0.028	3.54589e-05	-0.0156009	-8.12556e-05	0.0256753	7.98537e-05	-0.0100745	-3.19085e-05	0	0	
0.029	3.67261e-05	-0.0161576	-8.41542e-05	0.0265915	8.27017e-05	-0.0104339	-3.30485e-05	0	0	
0.03	3.79934e-05	-0.0167144	-8.70525e-05	0.0275076	8.55492e-05	-0.0107932	-3.41885e-05	0	0	
0.031	3.92608e-05	-0.017271	-8.99504e-05	0.0284235	8.83963e-05	-0.0111525	-3.53285e-05	0	0	
0.032	4.05282e-05	-0.0178277	-9.28479e-05	0.0293394	9.1243e-05	-0.0115117	-3.64686e-05	0	0	
0.033	4.17958e-05	-0.0183843	-9.5745e-05	0.0302552	9.40892e-05	-0.0118709	-3.76087e-05	0	0	
0.034	4.30634e-05	-0.0189408	-9.86417e-05	0.0311709	9.69349e-05	-0.0122301	-3.87489e-05	0	0	
0.035	4.43312e-05	-0.0194973	-0.000101538	0.0320865	9.97801e-05	-0.0125892	-3.98891e-05	0	0	
0.036	4.5599e-05	-0.0200537	-0.000104434	0.0330019	0.000102625	-0.0129482	-4.10294e-05	0	0	
0.037	4.6867e-05	-0.0206101	-0.000107329	0.0339173	0.000105469	-0.0133072	-4.21697e-05	0	0	
0.038	4.81351e-05	-0.0211664	-0.000110224	0.0348326	0.000108313	-0.0136661	-4.331e-05	0	0	
0.039	4.94032e-05	-0.0217227	-0.000113119	0.0357477	0.000111156	-0.014025	-4.44505e-05	0	0	
0.04	5.06715e-05	-0.0222789	-0.000116013	0.0366627	0.000113998	-0.0143838	-4.55909e-05	0	0	
0.041	5.194e-05	-0.0228351	-0.000118906	0.0375776	0.00011684	-0.0147426	-4.67314e-05	0	0	
0.042	5.32085e-05	-0.0233911	-0.000121799	0.0384924	0.000119682	-0.0151013	-4.7872e-05	0	0	
0.043	5.44771e-05	-0.0239472	-0.000124692	0.0394071	0.000122523	-0.0154599	-4.90126e-05	0	0	
0.044	5.57459e-05	-0.0245031	-0.000127584	0.0403216	0.000125363	-0.0158184	-5.01533e-05	0	0	
0.045	5.70148e-05	-0.025059	-0.000130475	0.041236	0.000128202	-0.0161769	-5.1294e-05	0	0	
0.046	5.82839e-05	-0.0256149	-0.000133366	0.0421502	0.000131041	-0.0165354	-5.24348e-05	0	0	
0.047	5.9553e-05	-0.0261706	-0.000136256	0.0430643	0.000133879	-0.0168937	-5.35757e-05	0	0	
