0.000000  0.000000 -0.036000 0.000000 0.078500 -0.042500 0.000000 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000000 -0.036000 0.000000 0.078500 -0.042500 0.000000 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.002000  0.000000 -0.036001 0.000000 0.078502 -0.042501 -0.000000 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000000 -0.036001 0.000000 0.078502 -0.042501 -0.000000 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 
0.004000  0.000000 -0.036002 0.000000 0.078507 -0.042504 -0.000000 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000000 -0.036002 0.000000 0.078507 -0.042504 -0.000000 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 
0.006000  0.000000 -0.036006 0.000000 0.078515 -0.042510 -0.000000 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000000 -0.036006 0.000000 0.078515 -0.042510 -0.000000 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000001 0.000000 -0.000000 
0.008000  0.000001 -0.036010 0.000000 0.078527 -0.042518 -0.000001 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000001 -0.036010 0.000000 0.078527 -0.042518 -0.000001 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000001 0.000000 -0.000001 
0.010000  0.000001 -0.036015 0.000000 0.078543 -0.042527 -0.000001 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000001 -0.036015 0.000000 0.078543 -0.042527 -0.000001 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000002 0.000001 -0.000001 
0.012000  0.000002 -0.036022 0.000000 0.078562 -0.042540 -0.000002 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000002 -0.036022 0.000000 0.078562 -0.042540 -0.000002 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000003 0.000001 -0.000002 
0.014000  0.000002 -0.036030 0.000000 0.078584 -0.042554 -0.000002 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000002 -0.036030 0.000000 0.078584 -0.042554 -0.000002 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000004 0.000001 -0.000003 
0.016000  0.000003 -0.036039 0.000000 0.078610 -0.042570 -0.000003 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000003 -0.036039 0.000000 0.078610 -0.042570 -0.000003 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000005 0.000001 -0.000003 
0.018000  0.000004 -0.036050 0.000000 0.078639 -0.042589 -0.000004 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000004 -0.036050 0.000000 0.078639 -0.042589 -0.000004 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000007 0.000002 -0.000004 
0.020000  0.000005 -0.036062 0.000000 0.078672 -0.042610 -0.000005 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000005 -0.036062 0.000000 0.078672 -0.042610 -0.000005 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000008 0.000002 -0.000005 
0.022000  0.000006 -0.036075 0.000000 0.078708 -0.042633 -0.000006 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000006 -0.036075 0.000000 0.078708 -0.042633 -0.000006 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000010 0.000003 -0.000006 
0.024000  0.000007 -0.036089 0.000000 0.078747 -0.042658 -0.000007 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000007 -0.036089 0.000000 0.078747 -0.042658 -0.000007 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000012 0.000003 -0.000008 
0.026000  0.000008 -0.036104 0.000000 0.078790 -0.042686 -0.000008 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000008 -0.036104 0.000000 0.078790 -0.042686 -0.000008 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000014 0.000004 -0.000009 
0.028000  0.000009 -0.036121 0.000000 0.078836 -0.042715 -0.000009 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000009 -0.036121 0.000000 0.078836 -0.042715 -0.000009 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000016 0.000004 -0.000011 
0.030000  0.000011 -0.036139 0.000000 0.078886 -0.042747 -0.000011 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000011 -0.036139 0.000000 0.078886 -0.042747 -0.000011 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000018 0.000005 -0.000012 
0.032000  0.000012 -0.036158 0.000000 0.078939 -0.042781 -0.000012 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000012 -0.036158 0.000000 0.078939 -0.042781 -0.000012 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000021 0.000006 -0.000014 
0.034000  0.000014 -0.036178 0.000000 0.078996 -0.042818 -0.000014 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000014 -0.036178 0.000000 0.078996 -0.042818 -0.000014 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000023 0.000006 -0.000016 
0.036000  0.000015 -0.036200 0.000000 0.079056 -0.042856 -0.000015 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000015 -0.036200 0.000000 0.079056 -0.042856 -0.000015 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000026 0.000007 -0.000017 
0.038000  0.000017 -0.036223 0.000000 0.079119 -0.042897 -0.000017 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000017 -0.036223 0.000000 0.079119 -0.042897 -0.000017 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000029 0.000008 -0.000019 
0.040000  0.000019 -0.036247 0.000000 0.079186 -0.042940 -0.000019 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000019 -0.036247 0.000000 0.079186 -0.042940 -0.000019 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000032 0.000009 -0.000021 
0.042000  0.000021 -0.036272 0.000000 0.079257 -0.042985 -0.000021 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000021 -0.036272 0.000000 0.079257 -0.042985 -0.000021 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000036 0.000010 -0.000024 
0.044000  0.000023 -0.036298 0.000000 0.079330 -0.043032 -0.000023 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000023 -0.036298 0.000000 0.079330 -0.043032 -0.000023 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000039 0.000011 -0.000026 
0.046000  0.000025 -0.036326 0.000000 0.079407 -0.043081 -0.000025 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000025 -0.036326 0.000000 0.079407 -0.043081 -0.000025 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000043 0.000012 -0.000028 
0.048000  0.000027 -0.036355 0.000000 0.079488 -0.043133 -0.000027 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000027 -0.036355 0.000000 0.079488 -0.043133 -0.000027 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000047 0.000013 -0.000031 
